filename,jcId,titleFr,validityDate,depositDate,CLA type,CLA status,Sector,Theme,summary,parent_name,parent_comparison
200-2021-013474,2000000,Crédit-temps 2023,2023-12-31T11:00:00.000+00:00,2021-11-24T11:00:00.000+00:00,Concluded on industry level,New,"LA SELLERIE, DE LA FABRICATION DE COURROIES ET ...","['Salaire', 'Fonds sociaux', ""Fonctionnement au sein du comité/de l'entreprise"", 'Primes et indemnités pour le travailleur actif', 'Primes et indemnités pour le travailleur actif']","

Cette convention collective de travail du 18 novembre 2021 concerne le crédit-temps en 2023 pour les employeurs et employés des entreprises relevant de la compétence de la commission paritaire auxiliaire pour employés. Elle prévoit des possibilités de dérogation avec l'accord de l'employeur. Elle octroie aux employés ayant une ancienneté de 5 ans ou plus un droit de 24, 36 ou 51 mois au crédit-temps à temps plein ou à mi-temps avec motif. Elle porte l'âge d'accès au droit la diminution à à mi-temps dans le cadre des emplois de fin de carrière pour les travailleurs plus âgés à 55 ans et l'âge d'accès au droit de 1/5ème dans le cadre des emplois de fin de carrière pour les travailleurs plus âgés à 55 ans. Elle prévoit une indemnité complémentaire à charge du fonds social pour les employés qui, en application de l'article 8, § 1er, 1° de la convention collective de travail n° 103, accèdent à une diminution de 1/5ème dans le cadre des emplois de fin de carrière à partir de 60 ans ou au-delà, et pour les employés qui, en application de l'article 3 de la convention collective de travail n° 157, accèdent à une diminution de 1/5ème dans le cadre des emplois de fin de carrière à partir de 55 ans ou au-delà. Elle entre en vigueur le 1er janvier 2023 et cesse ses effets au 31 décembre 2023, sauf disposition contraire.",,"

Aucune différence."
200-2021-013475,2000000,Dispense de l'obligation de disponibilité adaptée 2021-2022,2022-12-31T11:00:00.000+00:00,2021-11-24T11:00:00.000+00:00,Concluded on industry level,New,"LA SELLERIE, DE LA FABRICATION DE COURROIES ET ...","[""Mesures pour l'emploi et groupes cibles"", 'Fin au contrat de travail et chômage', 'Primes et indemnités pour le travailleur actif']","

La présente convention collective de travail est conclue en vue d'appliquer une dispense de l'obligation de disponibilité adaptée en exécution de l'accord social dans le cadre des négociations interprofessionnelles pour la période 2021-2022. Elle est applicable aux employeurs et aux employés des entreprises relevant de la compétence de la commission paritaire auxiliaire pour employés. Elle fixe les conditions d'octroi de la dispense de l'obligation de disponibilité adaptée pour les travailleurs âgés licenciés dans le cadre d'un régime de chômage avec complément d'entreprise qui ont une carrière longue. Elle entre en vigueur le 1er juillet 2021 et cesse d'être en vigueur le 31 décembre 2022.",,"

Les deux sont des objets Series vides, sans aucune différence."
200-2021-013463,2000000,Frais de transport,,2021-11-24T11:00:00.000+00:00,Concluded on industry level,New,"LA SELLERIE, DE LA FABRICATION DE COURROIES ET ...","['Temps de travail', 'Temps de travail', 'Fin au contrat de travail et chômage', 'Primes et indemnités pour le travailleur actif', 'Primes et indemnités pour le travailleur actif', 'Primes et indemnités pour le travailleur actif', 'Primes et indemnités pour le travailleur actif', 'Primes et indemnités pour le travailleur actif']"," travail) le 23 avril 2019, la convention collective de travail n° 19/9 a été signée au conseil national du travail en exécution des accords conclus au conseil national du travail. cette convention collective de travail porte à 80 p.c. l'intervention de l'employeur dans le prix des transports en commun publics par chemin de fer et exprime cette intervention sous la forme de montants forfaitaires qui ne sont pas indexés. une éventuelle adaptation de ces forfaits sera négociée tous les deux ans par les partenaires sociaux. vous trouverez ci-dessous la grille contenant les montants en vigueur à partir du 1er juillet 2019. Cette convention collective de travail définit les modalités d'intervention de l'employeur dans les frais de transport des employés, en ce qui concerne les transports en commun publics, les transports organisés par l'employeur avec la participation financière des employés, ainsi que les indemnités vélo et les moyens de transport personnels. Elle prévoit un remboursement mensuel et des contrôles de la réalité des déclarations des employés. Elle entre en vigueur le 1er janvier 2022, à l'exception de l'indemnité vélo qui entre en vigueur le 1er juillet 2022.",200-2020-000391,"

La première différence concerne le travail effectué le 23 avril 2019 et la seconde concerne la modification des frais de transport et la rémunération."
200-2021-013466,2000000,Modification de la CCT relative au pouvoir d'achat,,2021-11-24T11:00:00.000+00:00,Concluded on industry level,Update,Sector not specified,['Fin au contrat de travail et chômage'],"
Le Service public fédéral Emploi, Travail et Concertation sociale, Direction Générale des Relations collectives du Travail, Direction du Greffe, a publié un Erratum de la Convention Collective de Travail n° 168827/CO/220 du 18/11/2021 concernant le pouvoir d'achat dans le cadre de l'arrêté royal du 19 avril 2019 portant exécution de l'article 7, §1, de la loi du 26 juillet 1996 relative à la promotion de l'emploi et à la sauvegarde de la compétitivité par voie de prévention. Cet Erratum apporte des modifications à la Convention Collective de Travail du 1er juillet 2019, notamment des remplacements de dates. La Convention Collective de Travail est conclue pour une durée indéterminée à partir du 18 novembre 2021 et peut être dénoncée par l'une des parties moyennant un préavis de trois mois adressé par lettre recommandée au président de la Commission Paritaire Auxiliaire pour Employés et aux organisations signataires.",,"

Le premier est un service public fédéral, le second est vide."
200-2021-013469,2000000,Prime corona,2022-12-31T11:00:00.000+00:00,2021-11-24T11:00:00.000+00:00,Concluded on industry level,New,Sector not specified,"['Fin au contrat de travail et chômage', ""Fonctionnement au sein du comité/de l'entreprise"", ""Fonctionnement au sein du comité/de l'entreprise"", 'Primes et indemnités pour le travailleur actif']","

Cette convention collective de travail s'applique aux employeurs et employés des entreprises ressortissant à la Commission Paritaire Auxiliaire pour Employés. Elle octroie une prime Corona unique sous la forme de chèques consommation aux entreprises qui ont réalisé un résultat d'exploitation positif en 2019 et 2020 et dont le chiffre d'affaires ou la marge brute a augmenté d'au moins 5% en 2020 par rapport à 2019. La prime s'élève à 125 ou 250 euros selon l'augmentation du chiffre d'affaires ou de la marge brute. Elle est accordée aux travailleurs qui sont en service le 30 novembre 2021, au prorata des prestations effectuées et assimilées entre le 1er décembre 2020 et le 30 novembre 2021. La prime est versée sous la forme d'un chèque consommation au plus tard à la date prévue par l'arrete royal du 28 novembre 1969. Les organisations syndicales représentées au sein de la CPAE s'engagent à ne pas poser de revendications supplémentaires pendant la durée de la présente convention, qui est conclue pour une durée déterminée du 1er août 2021 au 31 décembre 2022.",,"

Les deux sont vides; aucune différence."
200-2021-011262,2000000,Modification des statuts du Fonds de sécurité d'existence,2022-03-31T10:00:00.000+00:00,2021-09-23T10:00:00.000+00:00,Concluded on industry level,New,Sector not specified,"['Salaire', 'Salaire', ""Mesures pour l'emploi et groupes cibles"", 'Fonds sociaux', 'Fonds sociaux']","

Cette convention collective de travail, conclue au sein de la commission paritaire auxiliaire pour employés, est une modification de la convention collective de travail du 1er avril 2015 et porte sur l'institution d'un fonds de sécurité d'existence et sur la fixation de ses statuts. Elle s'applique aux employeurs et aux employés des entreprises relevant de la compétence de la commission paritaire auxiliaire pour employés et prévoit une cotisation patronale au fonds social et nécessaire à son fonctionnement, fixée à 0,23% des salaires bruts des employés des entreprises pour le 1er trimestre 2022. Elle est conclue pour une durée déterminée, produisant ses effets le 1 janvier 2022 et prenant fin le 31 mars 2022.",,"

Les différences sont que la première est une convention collective de travail, tandis que la seconde est vide."
200-2021-011085,2000000,Crédit-temps,2021-12-31T11:00:00.000+00:00,2021-09-22T10:00:00.000+00:00,Concluded on industry level,New,"LA SELLERIE, DE LA FABRICATION DE COURROIES ET ...","[""Fonctionnement au sein du comité/de l'entreprise""]","
La présente convention collective de travail s'applique aux employeurs et employés des entreprises relevant de la compétence de la commission paritaire auxiliaire pour employés. Elle instaure un système de crédit-temps, avec des droits octroyés de 24, 36 et 51 mois selon l'ancienneté de l'employé. Elle entre en vigueur le 1er juillet 2021 et cesse de produire ses effets le 31 décembre 2021. Les dispositions non explicitement prévues par la convention sont régies par celles de la convention collective de travail n° 103 du 27 juin 2012 du conseil national du travail.",,"

Les deux sont vides, il n'y a donc aucune différence."
200-2020-012501,2000000,Formation,2021-12-31T11:00:00.000+00:00,2020-10-22T10:00:00.000+00:00,Concluded on industry level,New,Sector not specified,"['Recrutement et formation', 'Fonds sociaux', ""Fonctionnement au sein du comité/de l'entreprise""]","

La présente convention collective de travail s'applique aux employeurs et employés des entreprises relevant de la compétence de la commission paritaire auxiliaire pour employés (200). Elle modifie la convention collective du 1er juillet 2019 concernant la formation, en remplaçant l'article s, §2 par un nouveau qui donne la possibilité aux entreprises sans délégation syndicale d'adhérer au plan supplétif de formation en enregistrant celui-ci auprès du fonds social entre le 1/1/2020 et le 31/03/2021 au plus tard. La présente convention collective de travail est conclue pour une durée déterminée, à savoir pour la période débutant le 1/1/2020 et prenant fin le 31/12/2021.",,"

Les différences entre les deux sont que la première est une convention collective de travail et la seconde est une série vide."
200-2020-009333,2000000,Statut de la délégation syndicale,2021-07-31T10:00:00.000+00:00,2020-07-14T10:00:00.000+00:00,Concluded on industry level,New,Sector not specified,"[""Fonctionnement au sein du comité/de l'entreprise"", 'Primes et indemnités pour le travailleur actif']","

La présente convention collective de travail modifie temporairement la convention collective du travail du 9 juin 2016 relatif au statut de la délégation syndicale suite au report des élections sociales de mai 2020 à novembre 2020. Les articles 24, 12, 15 et 16 de la convention collective du 9 juin 2016 sont modifiés de manière à prolonger le mandat des délégués syndicaux jusqu'au 30 juin 2021 et à reporter la date de septembre 2020 à février 2021. La présente convention collective de travail entre en vigueur le 1er juillet 2020 et cesse d'être en vigueur le 31 juillet 2021.",,"

Les deux sont des séries vides, sans aucune différence."
200-2020-009334,2000000,Formation,2021-12-31T11:00:00.000+00:00,2020-07-14T10:00:00.000+00:00,Concluded on industry level,Update,Sector not specified,"['Recrutement et formation', 'Fonds sociaux', ""Fonctionnement au sein du comité/de l'entreprise""]","

Cet Erratum à la Convention Collective du Travail du 9 juillet 2020 modifie l'Article 2 pour prolonger la période pendant laquelle les entreprises occupant 20 travailleurs ou plus avec une délégation syndicale peuvent convenir d'un plan de formation propre à l'entreprise. L'Article 3 est également modifié pour déterminer le contenu, le moment, le groupe cible et les autres modalités de la formation. La présente Convention Collective de Travail est conclue pour une durée déterminée, à savoir pour la période débutant le 1er janvier 2020 et prenant fin le 31 décembre 2021.",200-2019-010016,"

Erratum 19 concerne la Convention Collective, alors que Erratum 23 concerne le Chapitre IX et l'Article 9 §."
200-2020-000391,2000000,Intervention dans les frais de transport.,2021-12-31T11:00:00.000+00:00,2020-01-20T11:00:00.000+00:00,Concluded on industry level,Update,"LA SELLERIE, DE LA FABRICATION DE COURROIES ET ...","['Temps de travail', 'Temps de travail', 'Fin au contrat de travail et chômage', 'Primes et indemnités pour le travailleur actif', 'Primes et indemnités pour le travailleur actif', 'Primes et indemnités pour le travailleur actif', 'Primes et indemnités pour le travailleur actif', 'Primes et indemnités pour le travailleur actif']"," frais de transport est modifiée. La rémunération annuelle brute doit être calculée selon l'annexe 4 jointe à la convention, et l'intervention de l'employeur dans le prix du titre de transport utilisé est égale à 80% du prix de la carte train 2ème classe pour une distance correspondante à partir du premier kilomètre. Pour les transports en commun publics autres que les chemins de fer, l'intervention de l'employeur est déterminée de manière forfaitaire et atteint 71,8% du prix effectivement payé par le travailleur. Pour les employés qui utilisent leurs propres moyens de transport pour se déplacer sur une distance égale ou supérieure à 3 kilomètres, l'intervention des employeurs est égale à 50% du prix de la carte de train valable pour un mois en 2ème classe. Pour les employés qui utilisent régulièrement le vélo pour se déplacer entre l'adresse de leur domicile et le lieu de travail, l'intervention de l'employeur à titre d'indemnité vélo est déterminée à 0,10 eur par kilomètre réellement effectué à vélo avec un maximum de 4 eur (max. 40 km aller-retour) par jour de travail. La présente convention entre en vigueur le 1er juillet 2019 et est conclue pour une durée indéterminée. Elle remplace la convention collective conclue en 2019 relative à l'intervention dans les frais de transport et peut être dénoncée par une des parties, moyennant un préavis de 3 mois.",200-2019-010017,"

Les différences entre les deux sont que le premier se concentre sur les frais de transport et la rémunération, tandis que le second se concentre sur les chiffres et les informations financières."
200-2019-010014,2000000,pouvoir d'achat,,2019-07-03T10:00:00.000+00:00,Concluded on industry level,Update,"LA SELLERIE, DE LA FABRICATION DE COURROIES ET ...","['Salaire', 'Salaire', 'Salaire', 'Salaire', 'Recrutement et formation', 'Fin au contrat de travail et chômage', ""Fonctionnement au sein du comité/de l'entreprise"", ""Fonctionnement au sein du comité/de l'entreprise"", 'Sujets divers: transfert du personnel, harmonis...', 'Primes et indemnités pour le travailleur actif', 'Primes et indemnités pour le travailleur actif']","pa miroir concernée. §2 l'employeur est tenu de conserver le budget de la prime annuelle temporaire et de la prime unique visée à l'article 5 et de le consacrer, le cas échéant, à un régime de pension complémentaire pour les employés dans le cadre de l'article 14 et suivants de la lpc. §3 le budget de la prime annuelle temporaire et de la prime unique visée à l'article 5 sera versé à l'institution de pension complémentaire concernée. §4 les partenaires sociaux des ae concernées sont tenus de conclure une cct au sein de la cpa miroir concernée avant le 31/12/2022. le cas échéant, l'employeur est tenu de verser le budget de la prime annuelle temporaire et de la prime unique visée à l'article 5 à l'institution de pension complémentaire concernée. §5 les cct conclues au sein de la cpa miroir concernée sont applicables à tous les employés des ae concernées, à l'exception des employés qui bénéficient déjà d'un régime de pension complémentaire pour les employés plus avantageux que celui applicable à ses ouvriers dans la même ae. §6 les dispositions de l'article 3 §3 à 6 compris s'appliquent également à la prime annuelle temporaire et à la prime unique dans le cas où l'employeur, défini en art 4, veut par priorité éliminer la différence existante en pension complémentaire entre les ouvriers et les employés au niveau de l'entreprise dans le cadre de l'art 14 de la lpc. la date cfr art 3§6 n'est pas d'application. la date de l'art. 3§6 sera dans le cas présent le mois de décembre de chaque année de référence. en outre, les dispositions de l'article 3 ne portent pas préjudice de la à l'obligation lpc d'éliminer pour le 1/1/2025 au plus tard les différences entre ouvriers et employés dans le cadre de la pension complémentaire, conformément aux dispositions de la lpc.

Le Service public fédéral Emploi, Trav",,"

21 pa miroir concernée: L'employeur est tenu de payer 21 pa miroir aux employés. Series([], Name: summary, dtype: object): Aucune différence."
200-2019-010015,2000000,formation,2019-12-31T11:00:00.000+00:00,2019-07-03T10:00:00.000+00:00,Concluded on industry level,New,Sector not specified,['Recrutement et formation'],"

Cette convention collective de travail conclue au sein de la Commission Paritaire Auxiliaire pour Employés (CPEAE) modifie la convention collective de travail du 13 décembre 2018 concernant la formation. Elle s'applique aux employeurs et employés des entreprises relevant de la compétence de la CPEEA. Elle ajoute un texte à l'article 1 et remplace le texte de l'article 2 §3. Elle entre en vigueur le 1er janvier 2019 et cesse ses effets le 31 décembre 2019.",,"

La première est une convention collective de travail, tandis que la seconde est une série vide."
200-2019-010016,2000000,formation,2021-12-31T11:00:00.000+00:00,2019-07-03T10:00:00.000+00:00,Concluded on industry level,Update,"LA SELLERIE, DE LA FABRICATION DE COURROIES ET ...","['Salaire', 'Temps de travail', 'Recrutement et formation', ""Mesures pour l'emploi et groupes cibles"", 'Fonds sociaux', ""Fonctionnement au sein du comité/de l'entreprise"", 'Primes et indemnités pour le travailleur actif']"," onné. chapitre ix clauses finales article 9 §1 la présente convention collective de travail entre en vigueur le 1/1/2020 et prend fin le 31/12/2021. elle est conclue pour une durée indéterminée. §2 les parties conviennent que la présente convention collective de travail ne peut être modifiée que par accord entre les parties ou par décision judiciaire.

Ce document concerne la Commission Paritaire Auxiliaire pour Employés (CPAE) et la Convention Collective de Travail (CCT) n°152851/C0/200 du 01/07/2019, qui est conclue au sein de la CPAE. Elle s'applique aux employeurs et aux employés des entreprises relevant de la compétence de la CPAE. Elle est conclue dans le cadre de l'objectif de formation interprofessionnel, tel que fixé par la loi du 5/3/2017 concernant le travail faisable et maniable. Elle stipule que les entreprises occupant 20 travailleurs ou plus proposent 5 jours de formation en moyenne par équivalent temps plein pour la période débutant le 1/1/2020 et prenant fin le 31/12/2021, et que les entreprises occupant moins de 20 travailleurs proposent 4 jours de formation en moyenne par équivalent temps plein pour la même période. Elle définit également la procédure pour les jours de formation individuels et les jours de formation collectifs/individuels, ainsi que la procédure pour l'obtention des avantages du CEFORA Plan ou Engagement de Formation enregistré. Elle prévoit également des nouvelles initiatives de formation et un jour de formation complémentaire. Elle s'engage à stimuler la mise au travail de chômeurs appartenant aux groupes à risque via la formation et/ou un accompagnement ciblé sur les professions critiques du secteur. Elle entre en vigueur le 1/1/2020 et prend fin le 31/12/2021.",,"

Les deux sont vides et n'ont aucune différence."
